Date,Close,Volume,Open,High,Low,Range,prev_day_close,vix_open,vix_close,vix_range
2016-12-02,115.7,32866990,115.57,116.16,115.22,0.812516207105193,116.6,14.16,14.12,15.556382582806103
2016-12-01,115.47,39708500,117.46,117.47,115.29,1.8731740848943055,115.7,13.4,14.07,12.027367662945624
2016-11-30,117.5,29467440,119.06,119.1335,117.46,1.414662702060711,115.47,12.6,13.33,9.278752436647169
2016-11-29,118.94,18539440,118.63,119.51,118.3,1.0176191076910206,117.5,13.07,12.9,7.107374856706163
2016-11-28,118.53,13447900,118.64,119.08,118.4101,0.5641498319298349,118.94,13.4,13.15,5.792682926829267
2016-11-25,118.8,7162785,118.56,118.85,118.42,0.36245627344374987,118.53,12.52,12.34,3.433133732534928
2016-11-23,118.42,22906770,118.51,118.64,117.9,0.6256869874017036,118.8,12.34,12.43,6.50793650793651
2016-11-22,118.9,18800690,118.97,119.19,118.61,0.48780487804877903,118.42,12.26,12.41,5.033959248901324
2016-11-21,118.54,20190550,117.6,118.65,117.57,0.9144018288036682,118.9,13.27,12.42,9.999999999999995
2016-11-18,117.32,16386800,117.83,118.1,117.21,0.7564489396965709,118.54,13.56,12.85,6.694245957126743
2016-11-17,117.76,20550860,116.86,117.78,116.61,0.9983361064891862,117.32,13.37,13.35,6.778398510242087
2016-11-16,116.91,16513410,115.7,116.9932,115.67,1.1374381509409308,117.76,13.51,13.72,7.0000000000000036
2016-11-15,116.22,31753500,115.47,116.62,115.33,1.112308687217078,116.91,14.16,13.37,9.660107334525936
2016-11-14,114.63,35550570,115.84,115.94,114.03,1.6610862286385153,116.22,14.69,14.48,7.8130217028380615
2016-11-11,115.8,41093240,115.21,116.05,114.84,1.0481181515007094,114.63,14.83,14.17,12.271973466003315
2016-11-10,115.75,72716840,118.14,118.38,114.195,3.5988390841664,115.8,14.01,14.74,20.568335588633293
2016-11-09,117.65,70125120,115.71,117.84,115.6,1.9191226867717692,115.75,20.7,14.38,39.932979614632785
2016-11-08,117.11,20522090,116.21,117.64,115.96,1.4383561643835676,117.65,18.92,18.74,11.752193565541084
2016-11-07,116.35,26547620,115.45,116.47,115.3,1.0096216076282538,117.11,19.78,18.71,7.686274509803916
2016-11-04,113.65,26961060,113.72,114.54,113.45,0.9561822886968756,116.35,21.86,22.51,18.052594171997168
2016-11-03,114.05,36157570,115.02,115.37,113.92,1.2647738671551334,113.65,19.85,22.08,18.014972228930215
2016-11-02,115.18,26465710,116.05,116.3,114.89,1.2197759418659948,114.05,19.09,19.32,6.565919749869733
2016-11-01,116.11,23455500,117.19,117.21,115.1047,1.812455260041659,115.18,16.54,18.56,21.22360584731997
2016-10-31,116.99,18726820,117.53,117.53,116.93,0.5118143819841289,116.11,16.31,17.06,8.14639905548996
2016-10-28,117.1,35292290,117.47,118.11,116.74,1.1667021503087116,116.99,15.67,16.19,16.875000000000007
2016-10-27,117.84,19028180,118.9,118.99,117.67,1.1155243809684723,117.1,14.37,15.36,12.60764726145367
2016-10-26,118.38,20445470,118.41,119.03,118.03,0.8436682696363791,117.84,13.66,14.24,8.011243851018977
2016-10-25,119.19,20259080,119.62,119.66,119.01,0.5446851300959412,118.38,12.91,13.46,8.499435878149674
2016-10-24,119.57,19130070,118.93,119.65,118.8918,0.6356957145456286,119.19,13.19,13.02,3.296282100421615
2016-10-21,118.15,15695890,117.8,118.22,117.41,0.6875185672452594,119.57,14.04,13.34,9.064748201438848
2016-10-20,117.71,18087500,117.68,117.97,117.03,0.7999999999999982,118.15,14.43,13.75,6.886858749121577
2016-10-19,117.85,13681110,117.77,118.02,117.64,0.3224985148094674,117.71,15.45,14.41,12.250423011844337
2016-10-18,117.86,19250530,118.18,118.41,117.8,0.5164895643706866,117.85,15.82,15.28,5.310880829015546
